modelo,MAE,RMSE,R2_teste,R2_CV_médio,R2_CV_std
LinearRegression,3132.7963836399736,4394.165818997215,0.9950222133854733,0.9852400385283605,0.004412737506166109
Lasso,3134.91486604426,4395.521897943311,0.995019140532285,0.9852592310624955,0.004397656615007496
RandomForest,2596.310703125,4497.004338428627,0.9947864924642166,0.9881858137440016,0.004474293113838808
Ridge,3400.838923195088,4865.127420323936,0.9938980052331867,0.9846524301096666,0.005265641664758841
GradientBoosting,3066.4084427016423,6061.761017047991,0.9905271423003095,0.989474576616213,0.0033821204108693587
